Date,Close,S&P_500_Price,MAANG_Market_Diff_Pct
2022-01-31,283.2341785,4118.5583333333325,-93.10739673127767
2022-02-28,239.70478562857144,4150.2,-94.20472137505344
2022-03-31,215.4886583142857,4078.884,-94.69199910806321
2022-04-30,230.25844632142858,4201.325,-94.5094127476382
2022-05-31,176.12828635714285,4114.905,-95.71456843780803
2022-06-30,172.3975009047619,3903.676666666667,-95.58114907531532
2022-07-31,162.70576882142856,3951.005,-95.87786282523348
2022-08-31,185.01265328571426,4159.757142857143,-95.53435994034311
2022-09-30,169.94114205714286,4145.842,-95.88697481208831
2022-10-31,155.67771277142856,3946.0380000000005,-96.04618951579724
2022-11-30,152.48959244897958,4096.992857142857,-96.25197902795848
2022-12-31,167.8554290857143,4026.0,-95.82477541592009
